,q_day
1988/6/10,37.01291935837674
1988/6/26,33.17634472757279
1988/9/5,4200.498986411615
1988/9/21,3867.525970540532
1988/11/8,4285.607051263239
1989/4/10,300.9382699474525
1989/5/3,1537.9663881365573
1989/5/28,1333.123477043752
1989/9/1,4177.468051725167
1989/10/3,4280.79672749295
1989/10/26,4122.488800108191
1990/6/16,3397.437646787841
1990/8/10,2953.3516813424408
1990/9/20,3989.3417342845873
1990/10/13,3210.113336208123
1990/10/29,4124.008433638122
1991/4/7,294.35936747468065
1991/4/23,1185.067426046217
1991/5/9,1754.876579214842
1991/7/5,464.7089737832689
1991/9/7,616.4679013522384
1991/9/23,1546.7967852902475
1991/9/30,685.5282588726908
1991/10/25,450.231221003572
1992/4/18,377.64187426825055
1992/5/20,572.7988203110355
1992/9/25,2016.0761587462937
1992/10/18,1777.001697549375
1993/5/14,909.016716255127
1993/5/23,564.63416147405
1993/7/10,712.2484858614295
1993/8/18,2060.038921231772
1993/8/27,2458.8837147604645
1993/9/3,1282.8761512691208
1993/10/5,1425.7147471217766
1993/10/21,3011.817613823932
1994/4/15,486.38753049587297
1994/4/24,1629.7872824227663
1994/5/17,531.8709047485308
1994/7/20,1625.146467271765
1994/8/30,2663.7735269562804
1994/9/6,2580.6527806765675
1994/9/22,2026.5283100714048
1994/10/24,3355.6943909189745
1994/11/2,789.0897835767116
1995/4/27,233.7560848478684
1995/10/4,1270.724161001957
1995/10/11,2997.3386360411414
1996/9/20,2956.726373707544
1996/10/22,1945.674655785449
1996/10/29,3169.760188522738
1997/4/23,199.5125177560705
1997/5/25,675.112081324161
