,q_day
1988/8/10,202.534654782114
1988/11/14,1389.388224383535
1988/11/30,1234.578729429455
1989/6/10,740.5298627785687
1989/11/1,1182.927855820765
1990/3/9,115.18132854908882
1990/4/26,198.93911563208644
1990/5/12,684.3717848688516
1990/10/19,1272.5105544109397
1990/11/20,1006.3281129454303
1991/7/18,377.4094656611607
1991/8/19,1198.0016357851812
1991/9/4,459.2053885311787
1991/10/6,962.4783800298272
1991/11/7,759.4171293769285
1992/8/5,1274.922350377531
1992/9/6,341.1633585348013
1992/11/9,618.5081381534103
1993/10/11,624.3503386955745
1993/10/27,1276.9715242175475
1993/11/12,613.3778698928762
1994/8/27,814.2859079432615
1994/10/14,428.16173969876905
1995/12/4,437.3003900344341
1996/6/29,782.2282949387336
1996/8/7,1006.9528584740868
1996/8/16,864.6613304770128
1996/9/24,443.6732511081829
1996/10/3,360.34695796305033
1996/10/19,870.911610377464
1996/11/11,408.035321637833
1996/11/27,1277.6633663722102
1997/4/4,116.8179604519167
1997/5/6,355.2303469725636
1997/5/31,1011.674149685776
1997/6/23,821.7513219735389
1997/7/18,1020.2327894306526
1997/8/26,384.63819262464256
1997/9/20,462.1523726530015
1997/10/22,601.0315176171548
1997/11/7,1265.7163622584492
1997/11/14,415.87868846035934
1997/11/23,322.58359094345684
