,q_day
1988/1/31,86.35631272005794
1988/5/15,432.0132317488514
1988/5/31,790.2860009305313
1988/9/4,456.1891224931257
1988/11/7,1175.4427337859736
1988/12/9,192.05489324287657
1989/1/26,229.87247516274024
1989/2/11,182.36831228285536
1989/3/22,164.0982270413151
1989/4/16,368.0678920272127
1989/5/2,394.4473346880138
1989/6/3,1248.005804675037
1989/10/25,1311.682250868851
1989/11/26,188.07598819377105
1990/2/14,573.2377050882393
1990/3/18,1269.5741273316637
1990/7/8,1282.064970246467
1990/10/12,1477.1880360666628
1991/1/16,671.6455463629138
1991/4/6,439.5626298766337
1991/4/22,645.8904343367533
1991/5/8,1277.1559181069897
1991/6/25,1514.3106280154368
1991/7/11,1562.5043781505308
1991/9/13,1260.9113901867252
1991/9/29,263.6555919416812
1991/10/31,1084.514797436757
1992/1/3,190.4178723244653
1992/1/19,326.68740648632
1992/2/20,64.89196311707305
1992/5/26,1412.7132652089133
1992/7/29,475.7626679191984
1992/8/14,1310.1766164799408
1993/5/29,584.761876978393
1993/6/14,567.5359743357566
1993/6/30,1334.633426510739
1993/7/16,1426.3974514591778
1993/8/1,1532.930644929504
1993/9/2,1504.719604634053
1993/11/21,564.0502270973941
1993/12/7,1095.3389727800054
1993/12/23,280.1675967080936
1994/1/8,961.7635048222362
1994/4/30,1134.8234885256627
1994/6/1,1547.4674632120607
1994/7/3,1125.082424721776
1994/7/19,1031.3448407789472
1994/8/4,1613.8050951639964
1994/10/23,350.6314673565888
1994/11/8,1016.0996712570844
1995/6/4,248.37791524907456
1995/6/20,1259.0070463579546
1995/9/24,1261.1678896649846
1995/10/26,300.2966162821378
1995/11/11,395.1226638208146
1995/11/27,160.90470285230785
1995/12/29,330.6767820636955
1996/6/29,1386.4125813192277
1996/8/16,1389.9589056504435
1996/9/26,294.4919409186749
1996/10/3,177.63221011277784
1996/10/28,188.9633148592497
1996/11/13,128.42247923753328
1996/11/29,279.6343746394331
1996/12/6,469.9905265565704
1996/12/22,174.73858161312612
1997/2/8,153.62730198345378
1997/2/17,110.78741628257062
1997/4/29,290.4381926627228
1997/5/31,554.6540088019649
1997/8/3,1404.3134889976534
1997/8/12,102.03924799587922
1997/8/19,203.70679374839503
1997/8/28,141.55094700752144
1997/10/22,1177.7034188044745
1997/10/31,390.1599291164798
1997/11/7,1162.0185128860514
1997/11/23,1040.3995524253105
1997/12/18,332.25002461319724
