,q_day
1988/6/29,730.0
1988/9/17,1070.0
1989/5/31,334.0
1989/7/2,367.0
1989/9/20,2790.0
1989/10/22,751.0
1990/3/31,1370.0
1990/5/18,1210.0
1990/6/3,784.0
1990/8/22,1710.0
1990/9/7,1880.0
1990/10/25,1180.0
1991/6/22,871.0
1991/9/26,601.0
1992/5/23,187.0
1992/6/8,243.0
1992/6/24,574.0
1992/7/26,1490.0
1993/10/17,1150.0
1994/4/27,1110.0
1995/4/30,712.0
1995/6/17,222.0
1995/7/3,66.5
1995/9/21,1250.0
1996/5/18,199.0
1996/7/5,170.0
1996/7/21,876.0
1996/10/9,649.0
1997/7/8,186.0
1997/8/25,1150.0
1997/9/26,618.0
1997/10/12,301.0
