,q_day
1988/1/31,282.5003472264685
1988/5/22,515.2949707142905
1988/6/23,1391.7182979094894
1988/8/10,1336.702135452389
1988/10/29,1352.5861920309635
1988/11/14,1003.6683717823312
1988/11/30,1262.762019866257
1989/2/2,322.6634640727254
1989/3/22,425.8743498219527
1989/4/23,359.7761571590476
1989/9/30,1560.9257008958566
1989/11/1,879.7894938284181
1989/11/17,496.19038027012687
1989/12/19,1098.4621894318557
1990/1/4,1104.889319563042
1990/1/20,891.9263047476271
1990/2/5,1179.135083427268
1990/3/9,682.3072895998025
1990/4/26,472.2380527691281
1990/8/16,928.5200931117168
1990/10/19,1326.3006456549035
1990/11/20,343.3051730275096
1990/12/6,1265.1117292800166
1991/1/7,882.115294114623
1991/6/16,467.94062362816624
1991/7/18,1188.426711560841
1991/8/19,1594.6252616946697
1991/9/4,1122.8102726710604
1991/9/20,979.9867347287312
1991/10/6,202.1479395797502
1991/11/7,1402.343489434937
1991/11/23,965.1851211603268
1991/12/25,150.06642306014209
1992/1/10,1205.817027835758
1992/1/26,494.8534092481323
1992/6/2,690.1503073061796
1992/7/20,1397.4579817972108
1992/8/5,1388.526841885982
1992/9/6,425.13018487695257
1992/11/9,195.61769246109188
1992/12/11,401.2837498813935
1992/12/27,144.86826312007702
1993/2/13,148.27687596699144
1993/5/4,470.9519538942527
1993/9/25,312.987282860864
1993/11/12,487.16392252302
1993/11/28,579.4098596542623
1993/12/30,136.7776972857819
1994/1/15,165.70768510400285
1994/3/4,717.6998801629474
1994/4/21,139.6368920099747
1994/5/7,1452.2801608461868
1994/5/23,76.65762555890343
1994/8/27,632.1372258538476
1994/9/28,240.76646025123927
1994/12/17,949.8358013248184
1995/1/2,1186.3725351049666
1995/5/10,307.9391084927014
1995/6/11,526.8067766735905
1995/6/27,1556.5428623769646
1996/2/22,73.46238341977548
1996/6/29,1336.857690034517
1996/8/16,998.4989469169894
1996/10/19,310.2094742593277
1996/12/6,731.1689535307897
1996/12/22,231.5529744016277
1997/5/31,260.8240496259009
1997/7/18,342.7426543500334
1997/8/3,857.0812171127783
1997/8/19,233.9393446294891
1997/11/7,319.0303236380621
1997/11/23,232.5041098356551
1997/12/9,122.64980857800718
1997/12/25,189.74074901253272
