,q_day
1988/6/11,536.0
1988/7/29,245.0
1988/8/14,1230.0
1988/9/15,521.0
1988/12/20,476.0
1989/5/29,201.0
1989/6/14,487.0
1990/6/17,785.0
1991/5/19,137.0
1991/6/20,321.0
1991/7/6,253.0
1991/8/23,640.0
1991/9/8,358.0
1991/9/24,273.0
1992/5/21,209.0
1992/7/24,458.0
1992/8/9,833.0
1992/8/25,570.0
1992/9/26,309.0
1993/5/24,105.0
1993/9/29,512.0
1994/4/25,682.0
1994/5/27,139.0
1994/7/14,764.0
1994/8/31,1270.0
1995/7/1,260.0
1995/8/2,363.0
1995/8/18,1210.0
1996/6/17,138.0
1996/7/3,138.0
1996/9/5,800.0
1996/9/21,735.0
1997/5/3,117.0
1997/5/19,115.0
1997/9/24,341.0
1997/10/10,168.0
