,q_day
1988/2/7,508.3458146865081
1988/4/27,256.0718697051746
1988/9/18,1204.0354823311748
1988/11/21,1023.7751645303928
1989/1/8,644.37169085702
1989/1/24,613.1893397217492
1989/5/16,743.8458265909411
1989/7/19,1121.2438668282975
1989/9/21,1440.9872571979597
1989/10/23,1264.3330843516385
1989/11/8,1093.515617735097
1989/11/24,1120.0781800980158
1989/12/26,619.0079353720317
1990/1/27,553.8272265206969
1990/2/12,1014.637144128744
1990/3/16,723.8109772522241
1990/6/4,803.2036726412783
1990/6/20,604.2124625777026
1990/7/6,690.9151381916074
1990/11/27,777.6087260248577
1990/12/13,834.0518778496094
1991/3/3,596.6126304599542
1991/6/23,404.6136501557293
1991/8/10,1209.2443044108609
1991/9/11,526.383594666829
1992/6/9,414.3278182861713
1992/8/28,882.9882133543402
1992/10/15,1140.2025443225548
1992/11/16,745.7520815656981
1992/12/2,1088.533215306579
1993/1/19,1041.34605659507
1993/5/27,501.77510157913486
1993/6/28,539.7791175708367
1993/8/15,740.9904353221549
1993/11/3,1021.559124410124
1993/12/5,963.7868094301796
1994/2/7,354.84652970430346
1994/4/28,434.56846678546526
1994/8/2,523.0603552995506
1994/10/21,993.3025298998684
1994/11/6,930.7359547034278
1994/11/22,590.8562881854377
1995/2/26,337.45855468045914
1995/5/17,248.75517198193205
1995/8/5,671.8097962360617
1995/8/21,847.8247450261581
1995/9/22,925.3356051039798
1995/10/8,1069.2316890431805
1995/11/9,1012.9438880106544
1996/2/29,489.6738641772637
1996/5/3,373.589664844592
1996/6/4,97.79050790699397
1996/6/20,507.23416949577313
1996/7/22,389.8445678781624
1996/8/23,562.834849723133
1996/10/26,667.881802611362
1996/11/11,723.3831506603083
1996/11/27,1255.2262613207522
1996/12/13,776.2929485142948
1996/12/29,726.721644787207
1997/1/14,768.4949996089832
1997/3/3,300.37931946328905
1997/3/19,291.3551649911712
1997/4/4,341.03327535890844
1997/5/6,383.349157037588
1997/6/23,785.5028071718413
1997/8/10,328.3454012253092
1997/8/26,755.7383872611811
1997/10/29,891.6107866751797
1997/11/14,720.4778618577939
