,q_day
1988/1/31,412.147049584594
1988/5/22,625.6796863505217
1988/6/23,1280.6181210436368
1988/8/10,1259.0625439714563
1988/10/29,1287.8141340411717
1988/11/14,997.0856075629132
1988/11/30,1014.4700683674938
1989/2/2,419.6377568673105
1989/3/22,782.8927398618007
1989/4/23,817.0332836335249
1989/9/30,1516.5962043516197
1989/11/1,887.3731645746253
1989/11/17,515.3461322048896
1989/12/19,987.254819912423
1990/1/4,976.8535853161568
1990/1/20,832.8773383995467
1990/2/5,1053.4311350375992
1990/3/9,740.1680641706358
1990/4/26,626.1314634643014
1990/8/16,968.384562296257
1990/10/19,1334.5580318188552
1990/11/20,362.22929779423794
1990/12/6,1182.0352147739336
1991/1/7,1029.157930042236
1991/6/16,581.7335013634048
1991/7/18,1172.0064876385827
1991/8/19,1551.1838009224014
1991/9/4,1134.41240322461
1991/9/20,941.6451867752202
1991/10/6,251.75555068451075
1991/11/7,1352.1135747778492
1991/11/23,807.6397023257886
1991/12/25,149.05248049695777
1992/1/10,1078.6256426947884
1992/1/26,629.0529435686908
1992/6/2,766.8503022893439
1992/7/20,1413.9868985619703
1992/8/5,1350.543021183368
1992/9/6,531.9985300202665
1992/11/9,213.31802937696747
1992/12/11,460.3967163099115
1992/12/27,131.44263268019813
1993/2/13,164.5571330786451
1993/5/4,659.2054238823749
1993/9/25,365.51903902862426
1993/11/12,577.4914870343106
1993/11/28,544.3170469587607
1993/12/30,135.06429435364268
1994/1/15,172.79129658315878
1994/3/4,937.2260654114448
1994/4/21,164.98423854460452
1994/5/7,1447.3141935765582
1994/5/23,140.9663461988696
1994/8/27,669.909901989249
1994/9/28,273.658857390092
1994/12/17,887.1706794056498
1995/1/2,1213.1070941060918
1995/5/10,429.6033624466465
1995/6/11,678.2866231173002
1995/6/27,1367.3015543408949
1996/2/22,118.9733754292338
1996/6/29,1330.2505895115712
1996/8/16,1053.1837968520938
1996/10/19,403.3065340742507
1996/12/6,752.8099260930053
1996/12/22,292.28968581074355
1997/5/31,391.93811686299097
1997/7/18,374.7200235992474
1997/8/3,1003.1373839173392
1997/8/19,238.78426394251815
1997/11/7,397.4408602424243
1997/11/23,271.4432039409108
1997/12/9,120.36430578653186
1997/12/25,261.3845889916954
