,q_day
1988/6/29,1535.01813681024
1988/9/17,1758.7631603100897
1989/5/31,463.6694241564996
1989/7/2,582.8241410621692
1989/9/20,2885.0330190540703
1989/10/22,1145.0358052355914
1990/3/31,137.3531561724822
1990/5/18,2631.143980306452
1990/6/3,1456.1262029074217
1990/8/22,2505.4547003149837
1990/9/7,2428.686928311509
1990/10/25,2046.3031514406405
1991/6/22,2294.021486655161
1991/9/26,300.6391290789257
1992/5/23,159.79041483841644
1992/6/8,281.286310479255
1992/6/24,1784.392037549306
1992/7/26,2261.8729483853595
1993/10/17,2860.7481702758428
1994/4/27,2605.6729068948925
1995/4/30,659.8518615651539
1995/6/17,144.32465353812592
1995/7/3,46.99945540728814
1995/9/21,2315.627670388433
1996/5/18,76.90811894818366
1996/7/5,501.9207480504402
1996/7/21,180.36353415978772
1996/10/9,1999.7769776338343
1997/7/8,473.2752998226487
1997/8/25,1492.7068473570891
1997/9/26,1751.3180989785226
1997/10/12,878.7899750757812
