,q_day
1988/6/10,33.46912455535597
1988/6/26,33.01710121300603
1988/9/5,1950.0404149074304
1988/9/21,1841.6173723910756
1988/11/8,1986.8475104990832
1989/4/10,171.39993126484455
1989/5/3,789.1153192867348
1989/5/28,679.4924206342068
1989/9/1,1945.9427110089712
1989/10/3,1980.273495023389
1989/10/26,1932.1654967577772
1990/6/16,1634.0924292996435
1990/8/10,1443.6629937463
1990/9/20,1880.5717077982888
1990/10/13,1568.9873022441016
1990/10/29,1932.787884585014
1991/4/7,167.6636105832369
1991/4/23,620.0049378428009
1991/5/9,891.7003351296554
1991/7/5,255.55411653008747
1991/9/7,335.37452376768647
1991/9/23,795.1814206902362
1991/9/30,370.16898688039726
1991/10/25,255.18807007356745
1992/4/18,212.70352876832365
1992/5/20,307.9698575628791
1992/9/25,1010.7464573326212
1992/10/18,915.181003148989
1993/5/14,481.4428676747693
1993/5/23,306.2697847451698
1993/7/10,380.5552784856694
1993/8/18,1032.0563768787404
1993/8/27,1216.4695549208889
1993/9/3,663.3613289501492
1993/10/5,733.1509115855707
1993/10/21,1503.9213903331286
1994/4/15,270.3192972407832
1994/4/24,834.8362436525758
1994/5/17,288.3766826497741
1994/7/20,823.9466185671909
1994/8/30,1315.6727695956413
1994/9/6,1279.8418032671775
1994/9/22,1023.693135360965
1994/10/24,1631.6272117598191
1994/11/2,428.4164191778052
1995/4/27,132.5153020179939
1995/10/4,659.4833919941573
1995/10/11,1471.0096969662625
1996/9/20,1446.2036113790991
1996/10/22,984.6527453167296
1996/10/29,1573.9180760800234
1997/4/23,116.43995990812476
1997/5/25,365.9478853708935
