,q_day
1988/4/26,35.75020386624384
1989/5/31,122.99213771643264
1989/7/2,495.003530102225
1989/9/20,2324.362958060065
1989/10/22,102.6104888305538
1990/3/31,43.96201185779693
1990/5/18,503.3690605115337
1990/6/3,1259.2268941498662
1990/8/22,2441.880896222264
1990/10/25,364.9753440398016
1991/5/21,120.96925630858422
1991/6/22,390.1076013165632
1991/7/8,361.8801318475928
1992/4/21,521.5402396217909
1992/5/7,201.62214890749172
1992/5/23,113.43955175440576
1992/6/8,151.5753514774032
1992/6/24,300.5028458227068
1992/9/28,763.9325175608996
1994/4/27,858.6599190613671
1994/5/29,62.15486814355804
1994/8/17,1094.2149335929469
1994/9/2,1429.352059771058
1994/9/18,1301.2850949782733
1994/10/4,1179.3319367469885
1995/7/3,370.4593828103578
1995/9/21,993.6095336640192
1996/7/5,154.54574848932774
