,q_day
1988/1/17,414.2092577628121
1988/2/2,149.50694492963922
1988/2/18,217.0194937047044
1989/2/4,392.7534906793904
1989/6/12,752.7516278814531
1989/10/2,2362.283662680955
1989/10/18,1848.4257690775248
1989/11/19,2059.2346011359846
1990/1/6,944.9496728622424
1990/1/22,1424.1007679047232
1990/2/7,1110.537587764856
1990/4/12,1250.3824430224315
1990/6/15,2239.4911458530714
1990/7/17,1701.2231737674017
1990/8/18,757.1428609438445
1990/11/6,1168.1699991472158
1990/12/8,870.0713358239425
1991/1/25,727.0692521321853
1991/2/10,596.0379919121663
1991/2/26,222.77852085642985
1991/5/17,830.5354964571857
1991/6/18,1033.5971033549458
1991/7/4,1218.124809106425
1991/8/21,1468.0904354844654
1991/9/6,1754.9850197517708
1991/10/24,1543.8553850658734
1991/11/9,1327.64861998809
1991/12/11,296.2743243452071
1992/5/19,1505.582382710972
1992/6/4,1354.599789846332
1992/8/23,1597.893949756804
1992/9/8,899.2804599933075
1992/10/10,1607.978118524281
1992/11/11,225.2829076941764
1992/11/27,673.255135468213
1993/2/15,377.317404541925
1993/6/7,1268.3708520020875
1993/7/9,1689.7355748572725
1993/8/26,1942.7862927341596
1993/9/11,1981.7454572430715
1993/10/13,1939.549831137561
1993/11/14,2002.3160485150236
1993/12/16,783.5908755841323
1994/2/2,414.3413472457656
1994/3/6,239.45149296542496
1994/6/10,1771.3773533749636
1994/7/28,1735.4718242598674
1994/8/29,1699.4103409350282
1994/11/17,1990.5723198045607
1995/1/4,930.5599394039529
1995/3/9,550.8117099899041
1995/3/25,769.8168358779019
1995/5/28,1077.614187475824
1995/6/29,1221.223647384569
1995/7/15,1209.1345143847689
1995/8/16,1677.322242812854
1995/9/17,1088.404926708538
1995/11/4,967.1437224120722
1995/11/20,606.6811288091
1995/12/6,839.4274766359986
1996/2/8,242.03205494236929
1996/4/28,405.698065873608
1996/5/30,886.2751734820507
1996/7/1,724.2671764884059
1996/7/17,1037.927839005986
1996/9/3,723.3998853967456
1996/11/22,411.39872525676753
1996/12/24,270.54975498755067
1997/1/25,223.6841925245264
1997/2/10,169.59810304098448
1997/3/30,316.9482351240414
1997/5/1,605.6022581642565
1997/6/2,880.7564234628974
1997/7/20,1069.0008467356613
1997/10/8,1065.4471344252097
1997/11/9,240.2576785806407
