,q_day
1988/6/23,613.7621030258122
1988/8/10,286.3734528740499
1988/10/13,579.1737540543033
1988/11/30,342.53679954072646
1989/6/10,650.1485686471477
1989/11/1,728.3956372838535
1989/11/17,491.8817887498952
1990/4/26,516.5365197888367
1990/10/19,632.0597262725457
1990/11/4,311.56889788407136
1990/11/20,428.69287160261104
1991/9/4,621.1697602435878
1992/5/1,390.2924048268959
1992/8/5,650.231223840276
1993/10/11,639.4981640293038
1993/11/12,374.6927944850015
1993/11/28,359.65004609887745
1994/10/14,475.56786740742615
1994/11/15,287.2779217918666
1995/5/10,449.2299218403625
1995/6/11,120.30662191110208
1995/6/27,278.97042681806244
1996/6/13,357.7357813079145
1996/8/16,555.0038716345722
1996/10/3,457.275516375667
1996/10/19,258.0586167693969
1997/4/29,263.1668316585566
1997/5/31,543.8406128140863
1997/8/3,219.443566877732
1997/8/19,587.200224975706
1997/9/20,282.78955420554246
1997/11/7,187.76475088952245
