,q_day
1988/1/17,216.6073223345284
1988/2/2,150.76526006934364
1988/3/5,236.09433219225195
1988/10/31,822.1724391323503
1988/12/2,521.158105013159
1989/1/19,285.64622418792527
1989/2/4,507.9268889860083
1989/10/2,2051.574136566924
1989/11/19,1667.932339369527
1990/1/6,189.56399252408391
1990/1/22,669.3904381308938
1990/2/7,765.6490922037806
1990/5/30,2439.169182075591
1990/8/18,1630.851129938328
1991/2/10,376.3924202123472
1991/5/17,695.5211194262624
1991/6/18,2299.251917427081
1991/7/4,1444.1220017855735
1991/7/20,1640.6810688133128
1991/8/21,436.9098103980801
1991/9/6,1190.7648271978865
1991/10/24,467.9080372313784
1991/11/9,675.8614343407761
1992/5/19,1597.2087946965878
1992/6/4,1898.3496741587176
1992/8/23,1953.040525005529
1992/10/10,106.3777598511807
1993/1/30,546.4408184978289
1993/5/22,1246.0905402441974
1993/6/7,1662.683949843838
1993/7/9,2345.2159783625857
1993/8/26,2365.8849370286857
1993/9/27,1900.487580346236
1993/10/13,2193.4785086538955
1993/12/16,677.1309824525239
1994/2/2,551.3942220231702
1994/6/10,1984.7632017812364
1994/7/28,2187.691243976902
1994/8/29,1075.2170242923216
1994/11/1,988.2812914788292
1994/11/17,775.8447103185699
1994/12/19,369.1503555923188
1995/1/4,559.6047787774543
1995/3/9,337.1208764194474
1995/3/25,487.7114645633736
1995/5/28,1027.3795750618503
1995/6/29,1753.4034626633995
1995/11/4,455.83236397200784
1995/11/20,852.1231039174443
1995/12/6,669.783952501011
1996/2/8,286.01816756857085
1996/4/28,703.650900252092
1996/7/17,1826.077574495098
1996/8/2,1454.3722824397112
1996/11/22,283.92669182768003
1997/2/10,164.47384529110445
1997/3/30,349.9110923886176
1997/4/15,101.05887997903362
1997/6/2,1113.0672256543385
1997/7/20,999.329667939372
1997/9/6,787.3827916506419
1997/9/22,1204.258246480558
1997/10/8,788.5322502156475
