,q_day
1988/8/10,239.7567812535888
1988/11/14,1308.9014989026896
1988/11/30,1343.2823283971409
1989/6/10,718.5228374144833
1989/11/1,1010.1789144349908
1990/3/9,108.73314347521558
1990/4/26,282.4149422288029
1990/5/12,676.2095936175984
1990/10/19,1197.0203077859492
1990/11/20,950.996295019934
1991/7/18,427.9382980086693
1991/8/19,1130.927746408599
1991/9/4,551.5574939699818
1991/10/6,947.4101312577978
1991/11/7,880.6761442143505
1992/8/5,1169.7049285065611
1992/9/6,390.3991431479475
1992/11/9,685.8686702023033
1993/10/11,750.3566660018305
1993/10/27,1147.2512166415909
1993/11/12,691.024953064781
1994/8/27,777.3224505591078
1994/10/14,527.7353203081475
1995/12/4,640.4499999898991
1996/6/29,675.6827500658401
1996/8/7,1015.4905875632808
1996/8/16,820.6046339344962
1996/9/24,547.1682796034097
1996/10/3,465.6474545430382
1996/10/19,871.417307148734
1996/11/11,399.555323915831
1996/11/27,1118.2469965761538
1997/4/4,163.4415365624219
1997/5/6,384.7082451921773
1997/5/31,983.397967687044
1997/6/23,778.8831073943325
1997/7/18,963.9625061807474
1997/8/26,412.8706206374138
1997/9/20,444.4565699473265
1997/10/22,617.4649954077098
1997/11/7,1136.9551496487013
1997/11/14,427.3408512580724
1997/11/23,484.68401036872353
