,q_day
1988/4/13,140.66848584238437
1988/4/29,121.81901686192472
1988/5/15,141.4587617303955
1988/11/7,607.2793039948599
1989/4/16,170.1364491075648
1989/5/2,281.03604330485507
1989/5/18,481.0983169778743
1989/6/3,334.22294734143367
1989/8/22,1309.667144672007
1989/10/25,1134.720466911904
1989/11/10,563.791888127732
1990/4/19,143.9198007104721
1990/6/22,973.2258838029958
1990/7/8,491.6126768854505
1990/10/12,459.99763824347247
1991/4/6,88.82527804520255
1991/6/25,511.2040687333728
1991/9/13,833.4309411389929
1991/9/29,844.5878521585677
1991/10/31,510.6254305493904
1992/5/10,282.85445432482703
1992/5/26,219.79413348376067
1992/7/29,1199.450157837945
1992/8/14,876.2059041821374
1992/10/1,1022.1972851782052
1992/11/18,136.65697651602952
1993/4/27,405.216758636562
1993/6/14,432.3178161034242
1993/9/2,1306.1648368354288
1993/10/4,609.3159731230281
1993/11/21,71.00102618305023
1993/12/7,77.05102181723431
1994/4/30,440.0141529677005
1994/7/3,1288.673746144089
1994/7/19,490.0252715875949
1994/8/4,295.422113317339
1994/9/5,203.90327416248024
1994/10/23,308.6901582381525
1995/4/17,198.5042064802635
1995/8/7,514.9037053871098
1995/9/24,1028.4927035730009
1995/11/27,136.0307686528396
1996/4/3,143.16878618281115
1996/4/19,108.33276556031056
1997/8/12,208.9309615426272
1997/11/16,70.00776051595034
