,q_day
1988/2/7,532.6993667100727
1988/4/27,161.78166741070288
1988/9/18,1179.8494419692304
1988/11/21,1214.197108075134
1989/1/8,853.881379215634
1989/1/24,675.5197084782474
1989/5/16,426.2860156343558
1989/7/19,892.7286582103463
1989/9/21,1336.7639084862003
1989/10/23,1262.0384239004168
1989/11/8,1216.6981368298957
1989/11/24,1330.197471919991
1989/12/26,757.3213529526872
1990/1/27,701.1421043853721
1990/2/12,1113.0477214208374
1990/3/16,642.0236028129168
1990/6/4,519.8211733150805
1990/6/20,407.4154087893211
1990/7/6,430.9517052057605
1990/11/27,928.7551844837546
1990/12/13,1231.495131901176
1991/3/3,492.5625122963632
1991/6/23,260.4209230363405
1991/8/10,1063.9673794989346
1991/9/11,378.39751409260055
1992/6/9,244.62348898832903
1992/8/28,607.7983291651141
1992/10/15,1116.4524360834257
1992/11/16,945.1955714675968
1992/12/2,1435.0704736411974
1993/1/19,1272.4108969509475
1993/5/27,316.23617384509674
1993/6/28,433.4009017583542
1993/8/15,634.1708242772355
1993/11/3,1188.2062539348972
1993/12/5,1323.343653026885
1994/2/7,370.18893255818034
1994/4/28,256.1289942934481
1994/8/2,391.1222333423256
1994/10/21,1114.3743870135047
1994/11/6,1078.962984817293
1994/11/22,900.4223629512178
1995/2/26,325.1391842901018
1995/5/17,163.15594548647366
1995/8/5,495.4618299725233
1995/8/21,579.9033235229209
1995/9/22,700.7112709492295
1995/10/8,1125.328902997059
1995/11/9,1334.3457330282604
1996/2/29,492.3339300571018
1996/5/3,237.68811237889605
1996/6/4,94.03008815895669
1996/6/20,307.12984666166113
1996/7/22,206.92402938712135
1996/8/23,558.3244475368596
1996/10/26,652.1435249184169
1996/11/11,859.6037210173504
1996/11/27,1477.5415943960083
1996/12/13,1046.0732657491003
1996/12/29,1004.5746983871888
1997/1/14,1061.7193355001812
1997/3/3,350.44848847706584
1997/3/19,270.5002629249225
1997/4/4,297.9650273467803
1997/5/6,222.04395262664931
1997/6/23,505.7774218416967
1997/8/10,205.2295066317424
1997/8/26,560.3188007047429
1997/10/29,948.3784862935586
1997/11/14,957.1373253155498
