,q_day
1988/5/15,1464.5198944268216
1988/5/31,1589.8181271303413
1988/9/4,1473.7270292857788
1988/11/7,1535.7501789023024
1988/12/9,746.516300407596
1989/1/26,1325.469077959202
1989/2/11,1462.6394134702168
1989/4/16,1245.1663052481922
1989/5/2,1417.1517526833927
1989/6/3,1541.440104584034
1989/10/25,1745.1834654921138
1990/3/18,1363.7749248787454
1990/7/8,1547.3748188725222
1990/10/12,1485.2540441102472
1990/12/15,516.2736354780592
1991/1/16,766.8179996321007
1991/3/21,634.0781686439071
1991/4/22,1091.2256958634712
1991/5/8,1297.303593528042
1991/6/25,1094.1997689197717
1991/7/11,1430.3615896812232
1991/9/13,1418.421474854369
1991/9/29,1184.691052036383
1991/10/31,1123.4773703761016
1991/12/2,491.8390360327457
1992/2/20,314.97323321164686
1992/5/26,1388.196015011738
1992/7/29,983.1246666637932
1992/8/14,765.8112184193801
1992/10/17,1530.108691036631
1993/5/29,782.2537245230509
1993/6/14,735.5119650451719
1993/6/30,1019.5947441500696
1993/7/16,1318.411192026818
1993/8/1,1675.405424077975
1993/9/2,1012.108545024414
1993/11/21,409.18648726101526
1994/1/8,698.9612088143654
1994/4/14,793.968351958434
1994/4/30,1080.7503572278422
1994/7/3,1058.087836072597
1994/7/19,951.7633731535489
1994/8/4,870.0035465188344
1994/9/5,824.5484545351613
1994/10/23,917.081111136133
1994/11/8,935.6543367427624
1995/1/11,304.9690934935944
1995/6/4,605.3111617119199
1995/6/20,338.5246199647274
1995/8/7,403.2613018158923
1995/9/24,1108.7169054869582
1995/10/26,999.0958891181332
1995/11/27,48.34337368773004
1996/2/15,244.70119292592065
1996/6/6,966.775211140168
1996/9/26,995.730527237112
1996/10/28,989.3576986529904
1996/11/13,113.628119142822
1996/11/29,498.43950537934205
1997/1/16,319.98701897221787
1997/2/17,311.22463376503873
1997/7/27,1079.2252664378218
1997/8/12,801.3014143918928
1997/8/28,1031.8373094229817
1997/10/15,685.3293529760516
1997/10/31,460.47719489727984
1997/11/16,266.0497794518667
1997/12/18,866.0594707557999
