,q_day
1988/6/23,440.0
1988/8/10,158.0
1988/10/13,376.0
1988/11/30,108.0
1989/6/10,676.0
1989/11/1,422.0
1989/11/17,298.0
1990/4/26,221.0
1990/10/19,262.0
1990/11/4,184.0
1990/11/20,132.0
1991/9/4,350.0
1992/5/1,218.0
1992/8/5,377.0
1993/10/11,314.0
1993/11/12,175.0
1993/11/28,93.40000153
1994/10/14,213.0
1994/11/15,109.0
1995/5/10,359.0
1995/6/11,90.69999695
1995/6/27,150.0
1996/6/13,201.0
1996/8/16,209.0
1996/10/3,210.0
1996/10/19,193.0
1997/4/29,116.0
1997/5/31,231.0
1997/8/3,169.0
1997/8/19,295.0
1997/9/20,152.0
1997/11/7,91.80000305
