,q_day
1988/1/17,370.3211433570616
1988/2/2,128.8761856077309
1988/2/18,226.59991977628056
1989/2/4,379.3117321919142
1989/6/12,906.5847365809232
1989/10/2,2575.6185075057847
1989/10/18,2078.125904986776
1989/11/19,2182.748871159306
1990/1/6,906.675524327783
1990/1/22,1383.6785221843782
1990/2/7,1034.4895895952166
1990/4/12,1303.5351132541864
1990/6/15,2438.2111301020896
1990/7/17,1832.2478787532737
1990/8/18,659.72514619222
1990/11/6,1182.7972497587932
1990/12/8,796.6789185099441
1991/1/25,657.6777791311707
1991/2/10,553.4385760937348
1991/2/26,211.6497097341789
1991/5/17,889.962559021882
1991/6/18,959.8813094347908
1991/7/4,1258.9864315967186
1991/8/21,1541.8566290547394
1991/9/6,1767.1557536377848
1991/10/24,1581.3661215830743
1991/11/9,1371.8536847380806
1991/12/11,256.2488698106619
1992/5/19,1689.4727922464292
1992/6/4,1557.2487867998752
1992/8/23,1727.10002575234
1992/9/8,872.4513818479293
1992/10/10,1701.6060637799844
1992/11/11,225.94810053744092
1992/11/27,595.494563740642
1993/2/15,389.3539742817375
1993/6/7,1355.6806650436286
1993/7/9,1798.3295369387272
1993/8/26,2221.584644968589
1993/9/11,2162.94759570332
1993/10/13,2035.3463670947249
1993/11/14,2130.995919775963
1993/12/16,761.8246044939465
1994/2/2,368.0442699955176
1994/3/6,263.6580693376053
1994/6/10,1933.9450546311648
1994/7/28,1899.9526943442092
1994/8/29,1772.4657160825964
1994/11/17,2220.936631892809
1995/1/4,876.3344559890517
1995/3/9,538.1648434001465
1995/3/25,799.6443559185102
1995/5/28,1184.4220564619372
1995/6/29,1314.1504671096586
1995/7/15,1382.7593637700377
1995/8/16,1856.7345742428736
1995/9/17,1172.9628928062443
1995/11/4,1018.3514507118416
1995/11/20,634.575822631549
1995/12/6,793.8301157672772
1996/2/8,237.55674429214875
1996/4/28,388.59288663853306
1996/5/30,981.6405458596998
1996/7/1,733.9216533474776
1996/7/17,1072.23060795706
1996/9/3,719.0064217534863
1996/11/22,416.4600425203724
1996/12/24,264.92790748552534
1997/1/25,229.42216304285597
1997/2/10,154.6054611187419
1997/3/30,339.5804369681408
1997/5/1,634.6640643735741
1997/6/2,978.9183467210707
1997/7/20,1196.4922317215971
1997/10/8,1078.4691084379945
1997/11/9,192.49288212293368
