,q_day
1988/6/23,644.3637538888236
1988/8/10,225.96431992590072
1988/10/13,685.8496820688714
1988/11/30,190.90867640060745
1989/6/10,679.5249226307621
1989/11/1,740.9840853189463
1989/11/17,631.8312652756905
1990/4/26,272.2884590249379
1990/10/19,692.118223735307
1990/11/4,341.6917658223854
1990/11/20,256.9810641873208
1991/9/4,694.9451326954861
1992/5/1,253.8096388489745
1992/8/5,660.8051006539836
1993/10/11,690.603736446574
1993/11/12,408.95938073527446
1993/11/28,277.9157409908766
1994/10/14,511.5284107343038
1994/11/15,254.7376149725723
1995/5/10,422.369912437691
1995/6/11,115.88500386046164
1995/6/27,204.2715215779181
1996/6/13,397.4540528545491
1996/8/16,535.4056278612395
1996/10/3,439.891495586656
1996/10/19,374.7186621464884
1997/4/29,161.08492480925406
1997/5/31,526.8135670679935
1997/8/3,235.54830368852785
1997/8/19,523.22587516189
1997/9/20,338.8142865815848
1997/11/7,163.80993063415733
