,q_day
1988/4/26,514.0
1988/5/3,376.0
1988/5/19,131.0
1988/6/13,401.0
1988/6/20,135.0
1988/6/29,207.0
1988/8/7,222.0
1988/9/8,943.0
1988/9/24,859.0
1989/5/22,142.0
1989/5/31,148.0
1989/7/2,175.0
1989/7/9,336.0
1989/8/3,1380.0
1989/8/10,1510.0
1989/8/26,2070.0
1989/9/11,2740.0
1989/9/27,2220.0
1989/10/13,568.0
1990/1/26,428.0
1990/2/2,526.0
1990/5/25,652.0
1990/7/5,636.0
1990/7/12,1030.0
1990/8/13,1320.0
1990/8/22,1620.0
1990/10/16,202.0
1991/1/4,469.0
1991/5/12,146.0
1991/5/21,123.0
1991/6/22,219.0
1991/6/29,247.0
1991/7/8,139.0
1991/7/15,123.0
1991/7/31,554.0
1991/8/9,135.0
1991/8/25,581.0
1991/9/1,223.0
1991/9/17,442.0
1991/9/26,252.0
1991/10/12,104.0
1992/4/21,315.0
1992/5/23,82.59999847
1992/5/30,181.0
1992/6/8,627.0
1992/6/15,270.0
1992/6/24,115.0
1992/7/17,109.0
1992/8/18,1370.0
1992/9/3,668.0
1992/9/12,234.0
1992/12/24,295.0
1993/4/15,654.0
1993/5/1,489.0
1993/5/17,69.80000305
1993/5/26,53.29999924
1993/6/2,88.19999695
1993/6/18,94.40000153
1993/7/13,222.0
1993/7/20,740.0
1993/9/22,928.0
1994/4/27,508.0
1994/5/20,56.29999924
1994/5/29,118.0
1994/6/5,306.0
1994/6/30,1080.0
1994/8/24,1160.0
1994/9/18,1030.0
1994/9/25,509.0
1995/6/8,191.0
1995/6/24,158.0
1995/7/3,274.0
1995/7/26,1330.0
1995/9/21,827.0
1995/10/14,371.0
1996/1/27,350.0
1996/4/23,822.0
1996/5/2,421.0
1996/5/9,214.0
1996/5/25,161.0
1996/6/3,195.0
1996/6/10,351.0
1996/7/5,74.09999847
1996/7/21,891.0
1996/8/13,966.0
1996/8/29,1160.0
1996/9/30,188.0
1997/4/26,303.0
1997/5/5,105.0
1997/5/21,25.89999962
1997/6/13,99.59999847
1997/6/22,27.89999962
1997/6/29,21.20000076
1997/7/8,98.30000305
1997/8/9,632.0
1997/8/16,1010.0
1997/8/25,981.0
1997/9/26,415.0
1997/10/12,122.0
