,q_day
1988/4/26,609.1218609652022
1988/5/19,175.74571905307337
1988/6/13,541.0398003492709
1988/6/20,295.3652854990935
1988/9/8,1613.891698175972
1989/5/22,222.03820127704395
1989/5/31,251.73897630548188
1989/6/16,1005.6417419910822
1989/7/9,652.5541312445235
1989/8/3,2311.155947894388
1989/8/26,2683.626998772035
1989/9/11,2752.350515871567
1989/9/27,2746.234801772418
1989/10/6,1293.1590235407436
1989/10/13,508.31704757166455
1990/4/16,36.06736796404429
1990/5/18,335.5112307756242
1990/5/25,1058.9203478620605
1990/6/3,1642.9173938386643
1990/6/10,1594.1091361381011
1990/7/5,1436.4243808352137
1990/7/12,942.836038000536
1990/7/21,1147.122467602348
1990/8/13,2516.6342937111244
1990/8/22,2588.73888437248
1990/8/29,2095.949810222336
1990/10/16,365.259145285362
1991/4/26,69.08961599169807
1991/5/12,217.46434235673675
1991/5/21,148.3910078057988
1991/6/22,244.695424515207
1991/6/29,306.5929454330241
1991/7/8,250.34391276410156
1991/7/31,1617.4372542816782
1991/10/12,155.1412459203761
1992/4/21,54.40941186072286
1992/5/23,129.5738699085682
1992/5/30,314.3471669884455
1992/6/8,875.8518430775332
1992/6/15,859.7427927703271
1992/6/24,222.59855741643045
1992/9/3,521.8916784337895
1992/9/12,420.7694625435432
1992/9/28,619.3718905472899
1993/4/15,29.17575916985672
1993/4/24,36.72185250456931
1993/5/1,843.7138325757893
1993/5/10,102.90568247131448
1993/5/17,124.21878937846608
1993/6/2,57.27786642690493
1993/6/18,237.9827119223172
1993/7/20,839.2342313240878
1993/9/22,1698.680026341966
1994/4/27,975.6315231869298
1994/5/13,128.35019785705487
1994/5/29,95.63674387510696
1994/8/24,1237.2896408605698
1994/9/9,1545.2144602594074
1994/9/18,1738.649386631963
1995/4/21,268.5069873368574
1995/6/1,228.85150683196045
1995/6/8,122.2457271322256
1995/6/24,120.42529220952736
1995/7/3,308.6310125996937
1995/7/26,2481.890083376148
1995/8/4,689.1676567690134
1995/9/21,1794.2455873155502
1995/10/14,722.2036941685027
1996/4/23,1138.3065198904808
1996/5/9,367.67544847650464
1996/5/25,84.44215297465004
1996/6/10,415.10324512279146
1996/7/5,76.94505059770623
1996/7/21,1174.405427545477
1996/8/29,2207.9729169866105
1996/10/9,85.05701829956496
1997/4/26,666.5438397768971
1997/5/5,182.12504347541224
1997/5/21,38.92718598072765
1997/6/13,99.52185682160504
1997/6/22,46.44104681767919
1997/7/8,81.08034188045255
1997/7/24,191.52136076346548
1997/8/9,672.861125181287
1997/8/25,1882.921866448418
1997/9/26,46.254605978458535
1997/10/19,27.87492148401201
1997/11/4,56.75651912991699
